"","geoid","region_name","year","value","region_type","measure","measure_type","measure_units"
"193",51683,"Manassas City, Virginia",2018,15.13593808,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"194",51683,"Manassas City, Virginia",2018,15.13593808,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"195",51683,"Manassas City, Virginia",2018,15.13593808,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"196",51683,"Manassas City, Virginia",2019,16.88538014,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"197",51683,"Manassas City, Virginia",2019,16.88538014,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"198",51683,"Manassas City, Virginia",2019,16.88538014,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"199",51683,"Manassas City, Virginia",2019,16.88538014,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"200",51683,"Manassas City, Virginia",2019,16.88538014,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"201",51685,"Manassas Park City, Virginia",2015,9.249476672,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"202",51685,"Manassas Park City, Virginia",2015,9.249476672,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"203",51685,"Manassas Park City, Virginia",2015,9.249476672,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"204",51685,"Manassas Park City, Virginia",2015,9.249476672,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"205",51685,"Manassas Park City, Virginia",2015,9.249476672,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"206",51685,"Manassas Park City, Virginia",2016,9.030650864,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"207",51685,"Manassas Park City, Virginia",2016,9.030650864,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"208",51685,"Manassas Park City, Virginia",2016,9.030650864,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"209",51685,"Manassas Park City, Virginia",2016,9.030650864,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"210",51685,"Manassas Park City, Virginia",2016,9.030650864,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"211",51685,"Manassas Park City, Virginia",2017,8.154941935,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"212",51685,"Manassas Park City, Virginia",2017,8.154941935,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"213",51685,"Manassas Park City, Virginia",2017,8.154941935,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"214",51685,"Manassas Park City, Virginia",2017,8.154941935,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"215",51685,"Manassas Park City, Virginia",2017,8.154941935,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"216",51685,"Manassas Park City, Virginia",2018,8.28208291,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"217",51685,"Manassas Park City, Virginia",2018,8.28208291,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
